Character,Line,Emotion
NARRATOR,HARPER sits at a table alone in a room. She is nervous and sad. Her FATHER enters and she tries to put on a happy face. He sits across the table from her,0.0666666666666667
FATHER,"Hi, Harper. I’m really happy you came.",0.8
HARPER,Happy Father’s Day.,0.8
FATHER,"Thanks… wow, you’re growing fast. How long has it been since I last saw you?",0.06250000000000001
HARPER,It was Christmas.,0.0
FATHER,That’s right. Christmas. I lose track of time. Every day seems like another.,0.2857142857142857
HARPER,Did you get the pictures? The ones of the school play?,0.0
FATHER,I did. I loved your costume. Did you sing? You have a wonderful voice.,0.85
HARPER,I did.,0.0
FATHER,Sing for me.,0.0
HARPER,Now?,0.0
FATHER,Sure.,0.5
HARPER,I can’t. Not in front of all these strangers.,0.0
FATHER,But you sang in front of the whole school.,0.2
HARPER,It’s not the same.,0.0
FATHER,Come on.,0.0
HARPER,Maybe you can make it to the next play?,0.0
FATHER,I wish I could.,0.0
HARPER,Maybe… if things go well here… you won’t be here forever… will you?,0.0
FATHER,I want to come home. I really do. I’m trying my best. I have another hearing next month. My lawyer says I might have a chance.,0.39999999999999997
HARPER,"I hope so… we miss you, Daddy.",0.0
FATHER,How is your mother?,0.0
HARPER,She told me not to talk about her.,0.0
FATHER,She’s still mad at me?,-0.625
HARPER,You left us.,0.0
FATHER,It wasn’t my choice.,0.0
HARPER,"You didn’t have to do that job. That’s what made you end up here, isn’t it?",0.0
FATHER,I wanted to take care of you all. I wanted to help. I lost my job and I didn’t have any other options.,-0.125
HARPER,Mom is supporting us now.,0.25
FATHER,You have a good mother. I’m happy she’s taking care of you. I just wish I could have done as good of a job.,0.7333333333333334
HARPER,You tried. I know you tried.,0.0
FATHER,I’d do anything for you… But it wasn’t enough.,0.0
HARPER,Just having you home would be enough.,0.0
FATHER,If your mother will let me.,0.0
HARPER,"It’s been hard for her. I’ve never seen her so sad. She cries every night. She never does it in front of me. She waits until she thinks I’m asleep. She has this picture of us in her room and she looks at it and cries. I want to help her, but I don’t know how.",-0.39583333333333337
FATHER,You are the reason she keeps going. She’s doing everything for you. She’ll never give up on you.,0.0
HARPER,I’m worried she is giving up on you.,0.0
FATHER,I can see why.,0.0
HARPER,Why can’t she forgive you?,0.0
FATHER,I don’t blame her. I can’t even forgive myself.,0.0
HARPER,"I forgive you, Daddy. I will always forgive you.",0.0
FATHER,"You’re a good girl, Harper. I hope you’ll always have a forgiving heart. And that no one ever does anything to change that.",0.7
HARPER,"What happened to you, Daddy? What changed you?",0.0
FATHER,I don’t know if I ever had a good heart.,0.7
HARPER,You were good to me.,0.7
FATHER,"I wanted to be different for you. I wanted to be better. Being a father changed me, it made me try harder to be good. But I guess it was too late.",0.16
HARPER,It’s never too late.,-0.3
FATHER,"I want to believe that you’re right. I wish it was as easy to be good as it is to be bad. No matter how hard I try, something always happens… something deceives me, tricks me, tempts me… I’m so weak.",0.008730158730158727
HARPER,"Don’t be sad, Daddy. Let’s think of something good. Tell me something you want to do when you come home.",0.09999999999999998
FATHER,"I want to take you to that pizza place, with all those games, the one we went to for your birthday. With all the lights and music… you did that dancing game… and you looked so happy. Everyone watched you dance and cheered. That’s one of my best memories.",0.9
HARPER,I was very happy.,1.0
FATHER,And I want to see one of your school plays. I hope you get the lead in the next one. And I want to be in the front row.,0.0
HARPER,"I want that too, Daddy. Real bad.",-1.0
FATHER,I will do my best.,1.0
HARPER,Can I give you a hug?,0.0
FATHER,They won’t let us. It’s against the rules.,0.0
HARPER,I hate the rules.,-0.8
FATHER,Harper. Don’t hate the rules. Hating the rules is what got me in here. Love the rules and don’t be like me.,-0.15000000000000002
HARPER,"Okay, Daddy.",0.5
FATHER,Never do anything that keeps you from giving your child a hug. That’s the worst part of this for me. Being away from you and your mother. Please ask your mother to come see me. I miss her.,-1.0
HARPER,I will.,0.0
FATHER,"Goodbye, Harper.",0.0
HARPER,"Goodbye, Daddy.",0.0
NARRATOR,They stand and look like they want to hug. Lights go to black,-0.16666666666666666
